image_path,category,subcategory,full_label
Data\Hazardous\batteries\1-s2.0-S0892687521004477-ga1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\1-s2.0-S2405829720304827-fx1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\1-s2.0-S2666016421000268-ga1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\18650Cell.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\19.13.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\40422.MN2400B8.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\800px-Alkali_battery_5.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\AA_matchstick-1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\aenm202102917-fig-0006-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\alkaline-batteries-for-recyling.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-Battery-vs-Lithium-Battery.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\alkaline-battery_en.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\alkaline-zinc-carbon.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\AMP-17_61f252bb2428a.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batterien_seen_fotolia_26510842_m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Batteries-.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries-scaled.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Batteries3.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries_as_hero.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery-directive-european-union.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery-recycling.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery-recycling2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery_recycling.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery_sizing.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\bu-social.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\carbon-zinc-battery-vs-alkaline.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\common-alkaline-battery-sizes.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Cutaway-view-dioxide-power-cell.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Different-Types-of-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\EDR-2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Eneloop_6420.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\energizer-cold-weather-lithium-aa-battery.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\fenrg-08-571440-g001.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\file-20201020-17-1x28u8s.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\inf212000-fig-0001-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\inf212000-fig-0004-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Intro-to-batteries-featured.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\know-what-type-of-battery-to-use-in-equipment2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-Batteries-vs-Alkaline-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-ion-aa-batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-ion-watt-hours-highlighted.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-ion_battery.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-vs-alkaline-batteries-where-the-differences-and-which-is-better.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium20batttery20pic.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium_battery_terminal_image_EN.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\maxresdefault.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\NAWMA-Safe-Battery-Recycling-content.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Nokia_Battery.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\photo_news_lithium_batteries_1100x500_NEW.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\power-one-c-size-1-5v-battery-pack-of-2--500x500.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\poweron-longlife-power-9v-mrp-265.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\rechargeable-battery-2048px-5925.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\rechargeable-battery-2048px-5939.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\rechargeable-battery-2048px-5963-2x1-1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\sciadv.abm2422-f1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\smtd202000039-fig-0001-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\spent-batteries-CNBG3H.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\technology-0-1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\thehistoryan.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\The_ultimate_comparative_analysis_of_carbon_zinc_battery_vs_alkaline_800x.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Types-of-Batteries-1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Types-of-Batteries-Featured-Image.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Types-of-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Types-of-BatteriesPrimary-and-Secondary.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Types-of-rechargeable-batteries-.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\TypesofBatteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\using-alkaline-batteries-in-your-application.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\van_dragt_102517_0032_how_to_choose_batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\What_Batteries_are_Best_for_Flashlights_2991x.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\12209_2020_236_Fig1_HTML.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\12209_2020_236_Fig2_HTML.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\1_Picture7.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\41560_2019_368_Fig1_HTML.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\41586_2019_1682_Fig1_HTML.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-vs.-Lithium-Batteries.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\basic-lithium-ion-battery-5-2_en.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries-04-00007-g002.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries-05-00068-g001.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\creens-LCD-iPhone-panels-laptop-collected-for-disposal-in-plastic-containers.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\image-2-716x1024.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\imageqz6zbg.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\imagescxsuu.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Li-Batteries-for-Disposal-or-Recycling-1024x575.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Life-cycle-inventory-of-Li-ion-battery-Ecoinvent-30-Battery-Li-ion-rechargeable.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lifecycleimagebatteries.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-ion-batteries3.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-vs-alkaline-batteries.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\machinedesign_7204_pulse_plus_batteries_promo_0.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\non-rechargeable-batteries-product-image_0.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Primary-battery-types.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Screen-Shot-2021-07-20-at-10.37.08-AM.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\suschem-02-00011-g001.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\typical-lithium-ion-battery.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\un3480.png,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\AdobeStock_58870390.jpeg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries20in20a20pile20WEEE.jpeg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\ef1c02489_0011.jpeg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\d1ma00216c-f4_hi-res.gif,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\d1ma00216c-f6_hi-res.gif,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\sc0c04940_0022.gif,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\1-s2.0-S0892687521004477-ga1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\1-s2.0-S2405829720304827-fx1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\1-s2.0-S2666016421000268-ga1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\18650Cell.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\19.13.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\40422.MN2400B8.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\800px-Alkali_battery_5.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\AA_matchstick-1.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\aenm202102917-fig-0006-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\alkaline-batteries-for-recyling.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Alkaline-Battery-vs-Lithium-Battery.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\alkaline-battery_en.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\alkaline-zinc-carbon.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\AMP-17_61f252bb2428a.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batterien_seen_fotolia_26510842_m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Batteries-.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries-scaled.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Batteries3.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\batteries_as_hero.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery-directive-european-union.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery-recycling.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery-recycling2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery_recycling.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\battery_sizing.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\bu-social.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\carbon-zinc-battery-vs-alkaline.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\common-alkaline-battery-sizes.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Cutaway-view-dioxide-power-cell.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Different-Types-of-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\EDR-2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Eneloop_6420.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\energizer-cold-weather-lithium-aa-battery.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\fenrg-08-571440-g001.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\file-20201020-17-1x28u8s.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\inf212000-fig-0001-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\inf212000-fig-0004-m.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Intro-to-batteries-featured.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\know-what-type-of-battery-to-use-in-equipment2.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-Batteries-vs-Alkaline-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-Batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-ion-aa-batteries.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\lithium-ion-watt-hours-highlighted.jpg,Hazardous,batteries,Hazardous_batteries
Data\Hazardous\batteries\Lithium-ion_battery.jpg,Hazardous,batteries,Hazardous_batteries
